date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2025-10-11,France,Cameroon,3,0,Nations League,Home City,France,false
2024-05-11,South Africa,Tunisia,3,0,Nations League,Home City,South Africa,false
2026-03-28,Paraguay,Peru,0,0,WC Qualifier,Home City,Paraguay,false
2020-05-16,Tunisia,Chile,3,0,World Cup,Dubai,Tunisia,true
2021-02-27,Italy,Costa Rica,2,1,WC Qualifier,Home City,Italy,false
2018-11-01,Japan,Australia,4,1,Friendly,Home City,Japan,false
2022-03-15,Paraguay,Denmark,1,2,Friendly,Home City,Paraguay,false
2018-06-03,Brazil,Japan,4,0,WC Qualifier,Home City,Brazil,false
2021-02-06,Norway,Jamaica,2,0,World Cup,London,Norway,true
2019-12-04,Iran,Belgium,0,0,Friendly,Home City,Iran,false
2021-07-27,Cameroon,Argentina,1,2,Nations League,Home City,Cameroon,false
2020-03-23,Nigeria,Japan,0,3,Continental Cup,Home City,Nigeria,false
2025-08-05,Belgium,Brazil,0,1,Nations League,Home City,Belgium,false
2022-12-23,South Korea,New Zealand,3,0,Friendly,Home City,South Korea,false
2025-08-30,Italy,Serbia,2,0,Continental Cup,Home City,Italy,false
2021-08-21,Paraguay,Australia,0,1,Continental Cup,Home City,Paraguay,false
2023-05-23,Nigeria,France,0,1,WC Qualifier,Home City,Nigeria,false
2019-08-14,Spain,Belgium,4,1,Nations League,Home City,Spain,false
2025-03-05,Netherlands,Paraguay,1,1,Nations League,Home City,Netherlands,false
2024-04-22,Cameroon,Peru,1,1,Nations League,Home City,Cameroon,false
2025-06-21,Ivory Coast,Nigeria,1,1,World Cup,Paris,Ivory Coast,true
2024-01-26,Chile,Iran,0,0,World Cup,New York,Chile,true
2023-06-14,Germany,Ivory Coast,1,0,WC Qualifier,Home City,Germany,false
2018-02-02,Japan,Uruguay,1,0,Nations League,Home City,Japan,false
2019-05-06,Norway,England,0,1,Friendly,Home City,Norway,false
2021-03-01,Wales,Netherlands,3,1,WC Qualifier,Home City,Wales,false
2020-12-24,Ivory Coast,Algeria,2,1,Nations League,Home City,Ivory Coast,false
2021-03-14,England,South Africa,5,0,Continental Cup,Home City,England,false
2026-05-31,Uruguay,Australia,1,0,Friendly,Home City,Uruguay,false
2020-10-05,Cameroon,South Korea,1,0,Friendly,Home City,Cameroon,false
2020-01-23,Australia,Chile,3,0,World Cup,New York,Australia,true
2025-11-30,South Africa,Sweden,1,0,World Cup,Madrid,South Africa,true
2020-09-18,Japan,Spain,0,2,Nations League,Home City,Japan,false
2024-11-30,Italy,Ivory Coast,5,1,Friendly,Home City,Italy,false
2020-03-05,Australia,Norway,1,4,World Cup,New York,Australia,true
2021-04-30,Nigeria,Qatar,6,0,WC Qualifier,Home City,Nigeria,false
2026-03-30,England,Jamaica,0,0,Continental Cup,Home City,England,false
2019-12-11,Italy,New Zealand,0,0,Nations League,Home City,Italy,false
2018-04-28,Peru,Tunisia,2,3,Friendly,Home City,Peru,false
2020-12-30,Costa Rica,France,2,2,Continental Cup,Home City,Costa Rica,false
2026-01-06,Saudi Arabia,Italy,0,1,Continental Cup,Home City,Saudi Arabia,false
2024-04-13,Paraguay,Switzerland,0,2,World Cup,Doha,Paraguay,true
2022-01-13,Uruguay,Ecuador,2,1,Continental Cup,Home City,Uruguay,false
2024-03-28,Argentina,France,2,1,Continental Cup,Home City,Argentina,false
2018-01-21,South Africa,Belgium,3,2,Continental Cup,Home City,South Africa,false
2019-08-10,Senegal,Egypt,1,2,Nations League,Home City,Senegal,false
2022-06-23,New Zealand,Nigeria,1,1,Nations League,Home City,New Zealand,false
2022-03-02,Egypt,Spain,1,1,World Cup,Paris,Egypt,true
2019-07-31,South Africa,Jamaica,3,1,Friendly,Home City,South Africa,false
2018-08-04,Paraguay,Switzerland,2,1,Friendly,Home City,Paraguay,false
2019-08-20,Germany,South Korea,5,1,WC Qualifier,Home City,Germany,false
2022-06-28,Netherlands,Senegal,0,0,WC Qualifier,Home City,Netherlands,false
2026-05-26,Iraq,USA,3,2,WC Qualifier,Home City,Iraq,false
