group,home_team,away_team,match_date,match_time,venue,city
A,Mexico,South Africa,2026-06-12,03:00,TBD,TBD
A,South Korea,Czech Republic,2026-06-12,10:00,TBD,TBD
B,Canada,Bosnia,2026-06-13,03:00,TBD,TBD
D,USA,Paraguay,2026-06-13,09:00,TBD,TBD
B,Qatar,Switzerland,2026-06-14,03:00,TBD,TBD
C,Brazil,Morocco,2026-06-14,06:00,TBD,TBD
C,Haiti,Scotland,2026-06-14,09:00,TBD,TBD
D,Australia,Turkey,2026-06-14,12:00,TBD,TBD
E,Germany,Curacao,2026-06-15,01:00,TBD,TBD
F,Netherlands,Japan,2026-06-15,04:00,TBD,TBD
E,Ivory Coast,Ecuador,2026-06-15,07:00,TBD,TBD
F,Sweden,Tunisia,2026-06-15,10:00,TBD,TBD
H,Spain,Cape Verde,2026-06-16,00:00,TBD,TBD
G,Belgium,Egypt,2026-06-16,03:00,TBD,TBD
H,Saudi Arabia,Uruguay,2026-06-16,06:00,TBD,TBD
G,Iran,New Zealand,2026-06-16,09:00,TBD,TBD
I,France,Senegal,2026-06-17,03:00,TBD,TBD
I,Iraq,Norway,2026-06-17,06:00,TBD,TBD
J,Argentina,Algeria,2026-06-17,09:00,TBD,TBD
J,Austria,Jordan,2026-06-17,12:00,TBD,TBD
K,Portugal,DR Congo,2026-06-18,01:00,TBD,TBD
L,England,Croatia,2026-06-18,04:00,TBD,TBD
L,Ghana,Panama,2026-06-18,07:00,TBD,TBD
K,Uzbekistan,Colombia,2026-06-18,10:00,TBD,TBD
A,Czech Republic,South Africa,2026-06-19,00:00,TBD,TBD
B,Switzerland,Bosnia,2026-06-19,03:00,TBD,TBD
B,Canada,Qatar,2026-06-19,06:00,TBD,TBD
A,Mexico,South Korea,2026-06-19,09:00,TBD,TBD
D,USA,Australia,2026-06-20,03:00,TBD,TBD
C,Scotland,Morocco,2026-06-20,06:00,TBD,TBD
C,Brazil,Haiti,2026-06-20,08:30,TBD,TBD
D,Turkey,Paraguay,2026-06-20,11:00,TBD,TBD
F,Netherlands,Sweden,2026-06-21,01:00,TBD,TBD
E,Germany,Ivory Coast,2026-06-21,04:00,TBD,TBD
E,Ecuador,Curacao,2026-06-21,08:00,TBD,TBD
F,Tunisia,Japan,2026-06-21,12:00,TBD,TBD
H,Spain,Saudi Arabia,2026-06-22,00:00,TBD,TBD
G,Belgium,Iran,2026-06-22,03:00,TBD,TBD
H,Uruguay,Cape Verde,2026-06-22,06:00,TBD,TBD
G,New Zealand,Egypt,2026-06-22,09:00,TBD,TBD
J,Argentina,Austria,2026-06-23,01:00,TBD,TBD
I,France,Iraq,2026-06-23,05:00,TBD,TBD
I,Norway,Senegal,2026-06-23,08:00,TBD,TBD
J,Jordan,Algeria,2026-06-23,11:00,TBD,TBD
K,Portugal,Uzbekistan,2026-06-24,01:00,TBD,TBD
L,England,Ghana,2026-06-24,04:00,TBD,TBD
L,Panama,Croatia,2026-06-24,07:00,TBD,TBD
K,Colombia,DR Congo,2026-06-24,10:00,TBD,TBD
B,Bosnia,Qatar,2026-06-25,03:00,TBD,TBD
B,Switzerland,Canada,2026-06-25,03:00,TBD,TBD
C,Morocco,Haiti,2026-06-25,06:00,TBD,TBD
C,Scotland,Brazil,2026-06-25,06:00,TBD,TBD
A,Czech Republic,Mexico,2026-06-25,09:00,TBD,TBD
A,South Africa,South Korea,2026-06-25,09:00,TBD,TBD
E,Curacao,Ivory Coast,2026-06-26,04:00,TBD,TBD
E,Ecuador,Germany,2026-06-26,04:00,TBD,TBD
F,Japan,Sweden,2026-06-26,07:00,TBD,TBD
F,Tunisia,Netherlands,2026-06-26,07:00,TBD,TBD
D,Paraguay,Australia,2026-06-26,10:00,TBD,TBD
D,Turkey,USA,2026-06-26,10:00,TBD,TBD
I,Norway,France,2026-06-27,03:00,TBD,TBD
I,Senegal,Iraq,2026-06-27,03:00,TBD,TBD
H,Cape Verde,Saudi Arabia,2026-06-27,08:00,TBD,TBD
H,Uruguay,Spain,2026-06-27,08:00,TBD,TBD
G,Egypt,Iran,2026-06-27,11:00,TBD,TBD
G,New Zealand,Belgium,2026-06-27,11:00,TBD,TBD
L,Croatia,Ghana,2026-06-28,05:00,TBD,TBD
L,Panama,England,2026-06-28,05:00,TBD,TBD
K,Colombia,Portugal,2026-06-28,07:30,TBD,TBD
K,DR Congo,Uzbekistan,2026-06-28,07:30,TBD,TBD
J,Algeria,Austria,2026-06-28,10:00,TBD,TBD
J,Jordan,Argentina,2026-06-28,10:00,TBD,TBD
R32,TBD,TBD,2026-06-29,03:00,TBD,TBD
R32,TBD,TBD,2026-06-30,01:00,TBD,TBD
R32,TBD,TBD,2026-06-30,04:30,TBD,TBD
R32,TBD,TBD,2026-06-30,09:00,TBD,TBD
R32,TBD,TBD,2026-07-01,01:00,TBD,TBD
R32,TBD,TBD,2026-07-01,05:00,TBD,TBD
R32,TBD,TBD,2026-07-01,09:00,TBD,TBD
R32,TBD,TBD,2026-07-02,00:00,TBD,TBD
R32,TBD,TBD,2026-07-02,04:00,TBD,TBD
R32,TBD,TBD,2026-07-02,08:00,TBD,TBD
R32,TBD,TBD,2026-07-03,03:00,TBD,TBD
R32,TBD,TBD,2026-07-03,07:00,TBD,TBD
R32,TBD,TBD,2026-07-03,11:00,TBD,TBD
R32,TBD,TBD,2026-07-04,02:00,TBD,TBD
R32,TBD,TBD,2026-07-04,06:00,TBD,TBD
R32,TBD,TBD,2026-07-04,09:30,TBD,TBD
R16,TBD,TBD,2026-07-05,01:00,TBD,TBD
R16,TBD,TBD,2026-07-05,05:00,TBD,TBD
R16,TBD,TBD,2026-07-06,04:00,TBD,TBD
R16,TBD,TBD,2026-07-06,08:00,TBD,TBD
R16,TBD,TBD,2026-07-07,03:00,TBD,TBD
R16,TBD,TBD,2026-07-07,08:00,TBD,TBD
R16,TBD,TBD,2026-07-08,00:00,TBD,TBD
R16,TBD,TBD,2026-07-08,04:00,TBD,TBD
QF,TBD,TBD,2026-07-10,04:00,TBD,TBD
QF,TBD,TBD,2026-07-11,03:00,TBD,TBD
QF,TBD,TBD,2026-07-12,05:00,TBD,TBD
QF,TBD,TBD,2026-07-12,09:00,TBD,TBD
SF,TBD,TBD,2026-07-15,03:00,TBD,TBD
SF,TBD,TBD,2026-07-16,03:00,TBD,TBD
Third,TBD,TBD,2026-07-19,05:00,TBD,TBD
Final,TBD,TBD,2026-07-20,03:00,TBD,TBD
